-330.3027777777778 -60.0 -11.0 0.0 -20.0 
-165.4 -25.0 -5.0 -6.0 -20.0 
-330.3027777777778 -60.0 -11.0 0.0 -20.0 
-124.0 -13.0 -3.0 -7.0 -20.0 
-330.3027777777778 -60.0 -11.0 0.0 -20.0 
-165.4 -25.0 -5.0 -6.0 -20.0 
-299.3027777777778 -55.0 -11.0 -1.0 -20.0 
-134.84444444444443 -38.0 -6.0 -5.0 -20.0 
-439.6777777777778 -40.0 -10.0 -1.0 -20.0 
-311.8027777777778 -63.0 -12.0 0.0 -20.0 
-165.4 -25.0 -5.0 -6.0 -20.0 
-134.84444444444443 -38.0 -6.0 -5.0 -20.0 
-299.3027777777778 -55.0 -11.0 -1.0 -20.0 
-134.84444444444443 -38.0 -6.0 -5.0 -20.0 
-124.0 -13.0 -3.0 -7.0 -20.0 
-124.0 -13.0 -3.0 -7.0 -20.0 
-134.84444444444443 -38.0 -6.0 -5.0 -20.0 
-134.84444444444443 -38.0 -6.0 -5.0 -20.0 
-134.84444444444443 -38.0 -6.0 -5.0 -20.0 
-134.84444444444443 -38.0 -6.0 -5.0 -20.0 
-124.0 -13.0 -3.0 -7.0 -20.0 
-311.8027777777778 -63.0 -12.0 0.0 -20.0 
-208.80277777777778 -51.0 -9.0 -3.0 -20.0 
-330.3027777777778 -60.0 -11.0 0.0 -20.0 
-276.77777777777777 -22.0 -5.0 -5.0 -20.0 
-255.67777777777778 -45.0 -9.0 -3.0 -20.0 
-265.4 -26.0 -6.0 -5.0 -20.0 
-330.3027777777778 -60.0 -11.0 0.0 -20.0 
-165.4 -25.0 -5.0 -6.0 -20.0 
-124.0 -13.0 -3.0 -7.0 -20.0 
-330.3027777777778 -60.0 -11.0 0.0 -20.0 
-134.84444444444443 -38.0 -6.0 -5.0 -20.0 
-439.6777777777778 -40.0 -10.0 -1.0 -20.0 
-311.8027777777778 -63.0 -12.0 0.0 -20.0 
-165.4 -25.0 -5.0 -6.0 -20.0 
-134.84444444444443 -38.0 -6.0 -5.0 -20.0 
-299.3027777777778 -55.0 -11.0 -1.0 -20.0 
-349.1777777777778 -36.0 -8.0 -3.0 -20.0 
-165.4 -25.0 -5.0 -6.0 -20.0 
-134.84444444444443 -38.0 -6.0 -5.0 -20.0 
-134.84444444444443 -38.0 -6.0 -5.0 -20.0 
