-1000.0	0.0
-980.0	0.0
-960.0	0.0
-940.0	0.0
-920.0	0.0
-900.0	0.0
-880.0	0.0
-860.0	0.0
-840.0	0.0
-820.0	0.0
-800.0	0.0
-780.0	0.0
-760.0	0.0
-740.0	0.0
-720.0	0.0
-700.0	1.0
-680.0	0.0
-660.0	1.0
-640.0	0.0
-620.0	0.0
-600.0	2.0
-580.0	1.0
-560.0	0.0
-540.0	0.0
-520.0	3.0
-500.0	9.0
-480.0	9.0
-460.0	8.0
-440.0	14.0
-420.0	3.0
-400.0	14.0
-380.0	10.0
-360.0	14.0
-340.0	24.0
-320.0	26.0
-300.0	33.0
-280.0	55.0
-260.0	65.0
-240.0	81.0
-220.0	75.0
-200.0	108.0
-180.0	118.0
-160.0	170.0
-140.0	228.0
-120.0	274.0
-100.0	326.0
-80.0	393.0
-60.0	509.0
-40.0	612.0
-20.0	777.0
0.0	988.0
20.0	923.0
40.0	780.0
60.0	587.0
80.0	531.0
100.0	479.0
120.0	332.0
140.0	277.0
160.0	246.0
180.0	173.0
200.0	161.0
220.0	108.0
240.0	96.0
260.0	80.0
280.0	70.0
300.0	34.0
320.0	50.0
340.0	25.0
360.0	17.0
380.0	22.0
400.0	10.0
420.0	13.0
440.0	9.0
460.0	10.0
480.0	5.0
500.0	2.0
520.0	3.0
540.0	4.0
560.0	0.0
580.0	0.0
600.0	0.0
620.0	1.0
640.0	0.0
660.0	1.0
680.0	0.0
700.0	0.0
720.0	0.0
740.0	0.0
760.0	0.0
780.0	0.0
800.0	0.0
820.0	0.0
840.0	0.0
860.0	0.0
880.0	0.0
900.0	0.0
920.0	0.0
940.0	0.0
960.0	0.0
980.0	0.0
